node_index,x_m,y_m,z_m,zone_id,response_external_C_per_1SD,response_meeting_C_per_1SD,response_server_C_per_1SD,response_working_C_per_1SD
219,7.25,8.25,0.5,1,0.49347824453053735,1.8076066782513842,1.9939179427654785,1.2509179750972568
220,7.25,8.75,0.5,1,0.37966909873948657,1.4114329416030298,1.9021536354318593,1.231031589423899
221,7.75,0.25,0.5,4,0.4980595139962799,1.1509626236901407,2.095706016837839,1.1355363116027661
222,7.75,0.75,0.5,4,0.4492258857711405,1.1387528716854334,2.1422281519498356,1.1387284901423376
223,7.75,1.25,0.5,4,0.42941763755238255,1.1166746504274814,2.1879099674718616,1.1405826414952738
224,7.75,1.75,0.5,4,0.41432902939747396,1.1294643936156012,2.215886736711601,1.1522894315289016
225,7.75,2.25,0.5,4,0.4240780480384121,1.1542895337789358,2.203810853664582,1.1393451505674723
226,7.75,2.75,0.5,4,0.45064908887900584,1.1645162112701477,2.217844715571455,1.1157948138113092
227,7.75,3.25,0.5,4,0.5248584358142198,1.1357847679691944,2.383549782838281,1.0787493389786693
228,7.75,5.25,0.5,4,0.5022798670748749,1.090626147739569,2.7263718420796317,1.1025523744953805
229,7.75,5.75,0.5,1,0.3739451044357473,1.5220154664759717,1.8634176741377946,1.2591207884538242
230,7.75,6.25,0.5,1,0.39808879300089123,1.82034164705263,1.9339648933800746,1.323442262825015
231,7.75,8.25,0.5,1,0.4740940498762682,1.7407708289372534,1.9891561311652786,1.2480526869746886
232,7.75,8.75,0.5,1,0.3812148861633525,1.4462773483087301,1.8951731906715679,1.2321328218194563
233,8.25,0.25,0.5,4,0.489148456459443,1.1549815307829487,2.101660153269999,1.121300916329935
234,8.25,0.75,0.5,4,0.4355925509252278,1.1377500571208614,2.1534082918584567,1.119191603051784
235,8.25,1.25,0.5,4,0.4150692351817473,1.1112904041827834,2.1992781828385786,1.1325608489219847
236,8.25,1.75,0.5,4,0.4137315536323295,1.12282136446056,2.2262746821764794,1.1436677172877583
237,8.25,2.25,0.5,4,0.41156690374791055,1.1485605478043204,2.211089904111271,1.1229235083705673
238,8.25,2.75,0.5,4,0.4339956825376388,1.1558899795915165,2.20347610916033,1.1086957476823736
239,8.25,3.25,0.5,4,0.47850163156782627,1.1246325754671749,2.3163687080615882,1.0678532884291423
240,8.25,5.25,0.5,4,0.48290600306843473,1.0942659732014772,2.6927119573254767,1.0837029196658277
241,8.25,5.75,0.5,1,0.38390648014237394,1.5233947196658244,1.8431737085745918,1.2376868635111025
242,8.25,6.25,0.5,1,0.4101207399459306,1.9625974231304113,1.8916507678781789,1.3081297145955582
243,8.25,8.25,0.5,1,0.45471999218741566,1.7084896544646162,1.9707037511893764,1.2481755786370845
244,8.25,8.75,0.5,1,0.38106478623589857,1.4778723847826012,1.8908047660566667,1.2390092982823349
245,8.75,0.25,0.5,4,0.49227505651892933,1.1607525865247654,2.110527370346718,1.1075943154153909
246,8.75,0.75,0.5,4,0.44074610307735973,1.1499954279756557,2.1563017435805434,1.10722492916905
247,8.75,1.25,0.5,4,0.41980649012945287,1.1356691114645665,2.1917647440134473,1.1169021510611536
248,8.75,1.75,0.5,4,0.40873620154043006,1.129158832895501,2.2096823730479516,1.1292589131043123
249,8.75,2.25,0.5,4,0.40527256168069875,1.143618733368818,2.1958798520310316,1.1164111227546485
250,8.75,2.75,0.5,4,0.4179310356989458,1.1482234896745265,2.1807963522051788,1.0943925666163303
251,8.75,3.25,0.5,4,0.4483884056414679,1.1194212598597704,2.306926089594456,1.055178903183472
252,8.75,5.25,0.5,4,0.4735450704442658,1.0996554055686483,2.653585555291437,1.0701174274349647
253,8.75,5.75,0.5,1,0.3848898861878446,1.528847642369653,1.8346778295564996,1.2332812754348723
254,8.75,6.25,0.5,1,0.4790056023824647,2.1464098555359947,1.8300973880723919,1.2772856094061502
255,8.75,8.25,0.5,1,0.43138616598034474,1.6943464000765467,1.9475153214012961,1.2439531550582947
256,8.75,8.75,0.5,1,0.3590128410836074,1.5207996420636953,1.8821663827957882,1.2434041802862854
